,fname,lname,country_code,phone_number,email,nationality,birthdate
0,Dr,Dunn,DM,+44(0)161 496 0613,williamsgemma@example.com,Gambia,1915-03-24
1,Francesca,Declan,TO,+441174960369,khodgson@example.com,Slovenia,1922-10-23
2,Sian,Collins,KP,01414960573,wyattdale@example.org,French Southern Territories,1944-05-21
3,Dr,Evans,ME,029 2018087,patelchloe@example.org,Malta,1961-11-02
4,Dr,Fox,MT,020 7946 0248,ianlowe@example.net,Comoros,1922-03-13
5,Mr,Barnes,SA,+44(0)1314960994,kimberleyhussain@example.net,Guyana,1945-03-19
6,Mr,Timothy,DO,(0115) 496 0206,pbirch@example.org,Malawi,1975-10-25
7,Jeffrey,Jones,SA,020 74960167,kthompson@example.com,American Samoa,1955-12-06
8,Allan,Adrian,JO,+441632960038,laurenpearce@example.org,Bermuda,2007-06-28
9,Nathan,Griffiths,GH,0115 496 0494,eric84@example.com,Panama,2007-02-13
